bestellnummer;bestelldatum;artikelnummer;artikel;kategorie;menge;einzelpreis_eur;gesamtpreis_eur;lieferant;lieferdatum;status
B-2026-0001;14.03.2026;A2003;Laugenstange;Backwaren;5;0,44;2,20;Bäckerei Morgenrot;18.03.2026;geliefert
B-2026-0002;21.02.2026;A1002;Apfelschorle 0,5 l;Getränke;60;0,58;34,80;SachsenGetränke GmbH;25.02.2026;geliefert
B-2026-0003;26.01.2026;A4003;Textmarker gelb;Schreibwaren;15;0,48;7,20;Bürobedarf Elbtal;29.01.2026;geliefert
B-2026-0004;06.03.2026;A3001;Apfel regional;Obst;100;0,28;28,00;Frischehof Meißen;07.03.2026;geliefert
B-2026-0005;10.05.2026;A1003;Orangensaft 0,33 l;Getränke;30;0,64;19,20;SachsenGetränke GmbH;14.05.2026;geliefert
B-2026-0006;25.05.2026;A5003;Maus kabelgebunden;Technik;5;5,30;26,50;IT-Service Lausitz;26.05.2026;geliefert
B-2026-0007;09.02.2026;A2001;Vollkornbrötchen;Backwaren;15;0,31;4,65;Bäckerei Morgenrot;14.02.2026;geliefert
B-2026-0008;08.02.2026;A5003;Maus kabelgebunden;Technik;20;5,30;106,00;IT-Service Lausitz;13.02.2026;geliefert
B-2026-0009;12.05.2026;A1003;Orangensaft 0,33 l;Getränke;80;0,64;51,20;SachsenGetränke GmbH;13.05.2026;geliefert
B-2026-0010;29.03.2026;A4003;Textmarker gelb;Schreibwaren;30;0,48;14,40;Bürobedarf Elbtal;01.04.2026;teilgeliefert
B-2026-0011;05.06.2026;A3002;Banane Fairtrade;Obst;5;0,34;1,70;Frischehof Meißen;10.06.2026;geliefert
B-2026-0012;20.03.2026;A3003;Birne regional;Obst;15;0,36;5,40;Frischehof Meißen;25.03.2026;teilgeliefert
B-2026-0013;06.03.2026;A4004;Bleistift HB;Schreibwaren;30;0,16;4,80;Bürobedarf Elbtal;13.03.2026;geliefert
B-2026-0014;17.04.2026;A3003;Birne regional;Obst;100;0,36;36,00;Frischehof Meißen;18.04.2026;geliefert
B-2026-0015;19.06.2026;A5002;Patchkabel 2 m;Technik;15;1,85;27,75;IT-Service Lausitz;24.06.2026;geliefert
B-2026-0016;05.02.2026;A2001;Vollkornbrötchen;Backwaren;100;0,31;31,00;Bäckerei Morgenrot;10.02.2026;geliefert
B-2026-0017;08.01.2026;A5003;Maus kabelgebunden;Technik;40;5,30;212,00;IT-Service Lausitz;15.01.2026;geliefert
B-2026-0018;15.04.2026;A2001;Vollkornbrötchen;Backwaren;40;0,31;12,40;Bäckerei Morgenrot;17.04.2026;geliefert
B-2026-0019;20.03.2026;A4002;Kugelschreiber blau;Schreibwaren;15;0,22;3,30;Bürobedarf Elbtal;;offen
B-2026-0020;12.06.2026;A4004;Bleistift HB;Schreibwaren;100;0,16;16,00;Bürobedarf Elbtal;15.06.2026;geliefert
B-2026-0021;02.02.2026;A2001;Vollkornbrötchen;Backwaren;5;0,31;1,55;Bäckerei Morgenrot;05.02.2026;geliefert
B-2026-0022;07.04.2026;A4001;Collegeblock A4 kariert;Schreibwaren;12;1,15;13,80;Bürobedarf Elbtal;11.04.2026;geliefert
B-2026-0023;19.01.2026;A4002;Kugelschreiber blau;Schreibwaren;10;0,22;2,20;Bürobedarf Elbtal;21.01.2026;geliefert
B-2026-0024;04.03.2026;A1001;Mineralwasser 0,5 l;Getränke;100;0,42;42,00;SachsenGetränke GmbH;07.03.2026;storniert
B-2026-0025;03.05.2026;A2001;Vollkornbrötchen;Backwaren;100;0,31;31,00;Bäckerei Morgenrot;06.05.2026;geliefert
B-2026-0026;31.01.2026;A3002;Banane Fairtrade;Obst;20;0,34;6,80;Frischehof Meißen;04.02.2026;geliefert
B-2026-0027;07.03.2026;A2001;Vollkornbrötchen;Backwaren;60;0,31;18,60;Bäckerei Morgenrot;;offen
B-2026-0028;22.01.2026;A1002;Apfelschorle 0,5 l;Getränke;30;0,58;17,40;SachsenGetränke GmbH;27.01.2026;geliefert
