verkaufs_id;datum;wochentag;menue_id;gericht;kategorie;verkaufte_portionen;reste_portionen;preis_eur;umsatz_eur;wetter
V0001;23.02.2026;Montag;M09;Käsespätzle mit Salat;vegetarisch;49;4;3,60;176,40;sonnig
V0002;23.02.2026;Montag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;44;6;3,40;149,60;sonnig
V0003;23.02.2026;Montag;M05;Fischfilet mit Kartoffelpüree;Fisch;30;7;3,90;117,00;sonnig
V0004;24.02.2026;Dienstag;M08;Rindergulasch mit Nudeln;Fleisch;44;2;4,10;180,40;regnerisch
V0005;24.02.2026;Dienstag;M05;Fischfilet mit Kartoffelpüree;Fisch;21;0;3,90;81,90;regnerisch
V0006;24.02.2026;Dienstag;M10;Falafel-Teller;vegan;20;2;3,80;76,00;regnerisch
V0007;25.02.2026;Mittwoch;M08;Rindergulasch mit Nudeln;Fleisch;39;0;4,10;159,90;regnerisch
V0008;25.02.2026;Mittwoch;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;44;3;3,80;167,20;regnerisch
V0009;25.02.2026;Mittwoch;M10;Falafel-Teller;vegan;35;1;3,80;133,00;regnerisch
V0010;26.02.2026;Donnerstag;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;41;3;3,70;151,70;regnerisch
V0011;26.02.2026;Donnerstag;M07;Chili sin Carne;vegan;33;2;3,40;112,20;regnerisch
V0012;26.02.2026;Donnerstag;M01;Spaghetti mit Tomatensoße;vegetarisch;31;1;3,20;99,20;regnerisch
V0013;27.02.2026;Freitag;M10;Falafel-Teller;vegan;33;4;3,80;125,40;kalt
V0014;27.02.2026;Freitag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;40;4;3,80;152,00;kalt
V0015;27.02.2026;Freitag;M01;Spaghetti mit Tomatensoße;vegetarisch;37;1;3,20;118,40;kalt
V0016;02.03.2026;Montag;M08;Rindergulasch mit Nudeln;Fleisch;48;2;4,10;196,80;kalt
V0017;02.03.2026;Montag;M05;Fischfilet mit Kartoffelpüree;Fisch;30;2;3,90;117,00;kalt
V0018;02.03.2026;Montag;M01;Spaghetti mit Tomatensoße;vegetarisch;45;1;3,20;144,00;kalt
V0019;03.03.2026;Dienstag;M08;Rindergulasch mit Nudeln;Fleisch;30;3;4,10;123,00;bewölkt
V0020;03.03.2026;Dienstag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;30;0;3,80;114,00;bewölkt
V0021;03.03.2026;Dienstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;53;3;3,40;180,20;bewölkt
V0022;04.03.2026;Mittwoch;M09;Käsespätzle mit Salat;vegetarisch;47;5;3,60;169,20;regnerisch
V0023;04.03.2026;Mittwoch;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;62;4;3,70;229,40;regnerisch
V0024;04.03.2026;Mittwoch;M04;Linsencurry mit Fladenbrot;vegan;29;3;3,50;101,50;regnerisch
V0025;05.03.2026;Donnerstag;M08;Rindergulasch mit Nudeln;Fleisch;47;5;4,10;192,70;kalt
V0026;05.03.2026;Donnerstag;M09;Käsespätzle mit Salat;vegetarisch;32;0;3,60;115,20;kalt
V0027;05.03.2026;Donnerstag;M10;Falafel-Teller;vegan;39;0;3,80;148,20;kalt
V0028;06.03.2026;Freitag;M05;Fischfilet mit Kartoffelpüree;Fisch;26;0;3,90;101,40;bewölkt
V0029;06.03.2026;Freitag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;36;6;3,80;136,80;bewölkt
V0030;06.03.2026;Freitag;M04;Linsencurry mit Fladenbrot;vegan;40;4;3,50;140,00;bewölkt
V0031;09.03.2026;Montag;M07;Chili sin Carne;vegan;38;2;3,40;129,20;kalt
V0032;09.03.2026;Montag;M10;Falafel-Teller;vegan;30;5;3,80;114,00;kalt
V0033;09.03.2026;Montag;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;52;2;3,70;192,40;kalt
V0034;10.03.2026;Dienstag;M08;Rindergulasch mit Nudeln;Fleisch;36;0;4,10;147,60;regnerisch
V0035;10.03.2026;Dienstag;M05;Fischfilet mit Kartoffelpüree;Fisch;34;1;3,90;132,60;regnerisch
V0036;10.03.2026;Dienstag;M01;Spaghetti mit Tomatensoße;vegetarisch;52;5;3,20;166,40;regnerisch
V0037;11.03.2026;Mittwoch;M09;Käsespätzle mit Salat;vegetarisch;45;2;3,60;162,00;sonnig
V0038;11.03.2026;Mittwoch;M08;Rindergulasch mit Nudeln;Fleisch;48;1;4,10;196,80;sonnig
V0039;11.03.2026;Mittwoch;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;39;3;3,40;132,60;sonnig
V0040;12.03.2026;Donnerstag;M10;Falafel-Teller;vegan;18;1;3,80;68,40;regnerisch
V0041;12.03.2026;Donnerstag;M09;Käsespätzle mit Salat;vegetarisch;65;1;3,60;234,00;regnerisch
V0042;12.03.2026;Donnerstag;M07;Chili sin Carne;vegan;43;0;3,40;146,20;regnerisch
V0043;13.03.2026;Freitag;M04;Linsencurry mit Fladenbrot;vegan;39;6;3,50;136,50;bewölkt
V0044;13.03.2026;Freitag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;54;3;3,80;205,20;bewölkt
V0045;13.03.2026;Freitag;M08;Rindergulasch mit Nudeln;Fleisch;34;0;4,10;139,40;bewölkt
V0046;16.03.2026;Montag;M01;Spaghetti mit Tomatensoße;vegetarisch;43;1;3,20;137,60;kalt
V0047;16.03.2026;Montag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;46;1;3,40;156,40;kalt
V0048;16.03.2026;Montag;M07;Chili sin Carne;vegan;41;1;3,40;139,40;kalt
V0049;17.03.2026;Dienstag;M09;Käsespätzle mit Salat;vegetarisch;48;3;3,60;172,80;bewölkt
V0050;17.03.2026;Dienstag;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;47;4;3,80;178,60;bewölkt
V0051;17.03.2026;Dienstag;M07;Chili sin Carne;vegan;44;2;3,40;149,60;bewölkt
V0052;18.03.2026;Mittwoch;M08;Rindergulasch mit Nudeln;Fleisch;29;1;4,10;118,90;sonnig
V0053;18.03.2026;Mittwoch;M09;Käsespätzle mit Salat;vegetarisch;52;0;3,60;187,20;sonnig
V0054;18.03.2026;Mittwoch;M10;Falafel-Teller;vegan;28;1;3,80;106,40;sonnig
V0055;19.03.2026;Donnerstag;M09;Käsespätzle mit Salat;vegetarisch;53;0;3,60;190,80;kalt
V0056;19.03.2026;Donnerstag;M01;Spaghetti mit Tomatensoße;vegetarisch;55;1;3,20;176,00;kalt
V0057;19.03.2026;Donnerstag;M05;Fischfilet mit Kartoffelpüree;Fisch;23;0;3,90;89,70;kalt
V0058;20.03.2026;Freitag;M01;Spaghetti mit Tomatensoße;vegetarisch;44;1;3,20;140,80;kalt
V0059;20.03.2026;Freitag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;53;0;3,40;180,20;kalt
V0060;20.03.2026;Freitag;M05;Fischfilet mit Kartoffelpüree;Fisch;38;0;3,90;148,20;kalt
V0061;23.03.2026;Montag;M08;Rindergulasch mit Nudeln;Fleisch;51;2;4,10;209,10;regnerisch
V0062;23.03.2026;Montag;M10;Falafel-Teller;vegan;38;2;3,80;144,40;regnerisch
V0063;23.03.2026;Montag;M06;Gemüseburger mit Ofenkartoffeln;vegetarisch;62;4;3,70;229,40;regnerisch
V0064;24.03.2026;Dienstag;M09;Käsespätzle mit Salat;vegetarisch;47;1;3,60;169,20;bewölkt
V0065;24.03.2026;Dienstag;M10;Falafel-Teller;vegan;35;0;3,80;133,00;bewölkt
V0066;24.03.2026;Dienstag;M02;Kartoffel-Gemüse-Auflauf;vegetarisch;47;0;3,40;159,80;bewölkt
V0067;25.03.2026;Mittwoch;M03;Hähnchengeschnetzeltes mit Reis;Fleisch;41;1;3,80;155,80;sonnig
